0	1	j
1	2	k
2	3	G
3	4	g
4	5	[
5	6	d
6	7	f
7	8	g
8	9	[
9	10	H
10	11	g
11	12	,
12	13	k
13	14	F
14	15	p
15	16	k
16	17	f
17	18	\s
18	19	;
19	20	H
20	21	h
21	22	\s
22	23	j
23	24	k
24	25	G
25	26	g
26	27	b
27	28	k
28	29	J
29	30	g
30	31	z
31	32	m
32	33	k
33	34	u
34	35	\s
35	36	;
36	37	H
37	38	h
38	39	\s
39	40	a
40	41	y
41	42	g
42	43	\s
43	44	u
44	45	g
45	46	\s
46	47	k
47	48	J
48	49	b
49	50	f
50	51	g
51	52	\s
52	53	f
53	54	g
54	55	o
55	56	m
56	57	k
57	58	u
58	59	h
59	60	o
60	61	d
61	62	f
62	63	g
63	64	z
64	65	k
65	66	d
66	67	f
67	68	\s
68	69	j
69	70	u
70	71	g
71	72	\s
72	73	f
73	74	g
74	75	u
75	76	g
76	77	\s
77	78	j
78	79	u
79	80	g
80	81	\s
81	82	/
82
