Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ကာကွယ်နိ်ုင်အောင်	ကာကွယ်နိုင်အောင်
Found!ကားကျပ်တာရယ်	ကားကြပ်တာရယ်
Found!ကားမောင်သမား	ကားမောင်းသမား
Found!ကုူညီစောင့်ရှောက်ရမှာပေါ့	ကူညီစောင့်ရှောက်ရမှာပေါ့
Found!ကူးသွားပါတယျ	ကူးသွားပါတယ်
Found!ကိုကိုဂြာီး	ကိုကိုကြီး
Found!ကိုးကန် ့ နဲ ့ 	ကိုးကန့်နဲ့ 
Found!ကောက်ကိုင်လိ်ုက်မိသည်	ကောက်ကိုင်လိုက်မိသည်
Found!ကောင်းကျပါတယ်	ကောင်းကြပါတယ်
Found!ကိုင်တယ်ဖြေရှင်းပေးဖို့	ကိုင်တွယ်ဖြေရှင်းပေးဖို့
Found!ကုန်ဆုူံစေပါတယ်	ကုန်ဆုံးစေပါတယ်
Found!ကုန် ပစ္စည် း	ကုန် ပစ္စည်း
Found!ကပ်နေပါဘီနော်	ကပ်နေပါပြီနော်
Found!ကတ်မှီသွားနဲ့	ကပ်မှီသွားနဲ့
Found!ကမ္ဘာ့ကျော်	ကမ္ဘာကျော်
Found!ကမ် းလှမ် းမှု	ကမ်းလှမ်းမှု
Found!ကမ် းလှမ် းလိုက် သည်	ကမ်းလှမ်းလိုက် သည်
Found!ကယ်တိုင်နိုင်ခဲ့ပါတယ်	ကယ်တင်နိုင်ခဲ့ပါတယ်
Found!ကိုယ်ချင်းစာကြည့်စေချင်တယ််	ကိုယ်ချင်းစာကြည့်စေချင်တယ်
Found!ကိုယ့်တိုင်ကစပြီး	ကိုယ်တိုင်ကစပြီး
Found!ကိုယ်တိ်ုင်ကိုယ်ကျ	ကိုယ်တိုင်ကိုယ်ကျ
Found!ကိ်ုယ်တိုင်လည်း	ကိုယ်တိုင်လည်း
Found!ကိုယ် ပို်ုင် 	ကိုယ် ပိုင် 
Found!ကိုယ်အလေးချိ်န်	ကိုယ်အလေးချိန်
Found!ကိုယ့်ကိုယ်ကိုယ်လညး်	ကိုယ့်ကိုယ်ကိုယ်လည်း
Found!ကို့နိုင်ငံထုတ်ပစ္စည်းကို 	ကိုယ့်နိုင်ငံထုတ်ပစ္စည်းကို 
Found!ကိုယ် ့မှာ ရှိသည် ့ 	ကိုယ့်မှာ ရှိသည့်
Found!ကိ်ုယ့်ဟာကိ်ုယ်တော့	ကိုယ့်ဟာကိုယ်တော့
Found!ကိုယ့်အသိစိတ်နဲ့ကိုုယ်	ကိုယ့်အသိစိတ်နဲ့ကိုယ်
Found!ကြေနပ်တာမဟုတ်ဘူး	ကျေနပ်တာမဟုတ်ဘူး
Found!ကြေနပ်နိုင်မှု	ကျေနပ်နိုင်မှု
Found!ကျေးပွန်းစွား	ကျေပွန်စွာ
Found!ကျေးဂျူးတင်ပါတယ်	ကျေးဇူးတင်ပါတယ်
Found!ေ ကျးဇူးပါ	ကျေးဇူးပါ
Found!ကျေးဇူးပြုရျ်	ကျေးဇူးပြု၍
Found!ကျောက်တငွ်းကြီး	ကျောက်တွင်းကြီး
Found!ကျောက်ပနナု 	ကျောက်ပနု
Found! ေကျာင်းတက် 	ကျောင်းတက် 
Found!ကျောင် းတွင် းသို့	ကျောင်းတွင်းသို့
Found!ကျောင်းရောက်နေပါပီဏော်	ကျောင်းရောက်နေပါပီနော်
Found!ကျောင်းသားတွေဘဲ	ကျောင်းသားတွေပဲ
Found!ကျန် သည် ့ 	ကျန် သည့်
Found!ကျုပ်တို ့က	ကျုပ်တို့က
Found!ကြျသွားခဲ့ပါတယ်	ကြသွားခဲ့ပါတယ်
Found!ကြားခဲ့၇တော့တာပါပဲ	ကြားခဲ့ရတော့တာပါပဲ
Found!ကြီးဆိုးလာနိုင်တယ်	ကြီးစိုးလာနိုင်တယ်
Found!ကြီးပြင်းခဲရ	ကြီးပြင်းခဲ့ရ
Found!ကြော် ညာပေးခြင် း	ကြော် ညာပေးခြင်း
Found!ကြိုတင်ပြင်ဆင်ချျိန်	ကြိုတင်ပြင်ဆင်ချိန်
Found!ုကြိုးစားစရာတွေကို	ကြိုးစားစရာတွေကို
Found!ကျိုးစားပြီး	ကြိုးစားပြီး
Found!ကြိုးပမ်းမှေု	ကြိုးပမ်းမှု
Found!ကြောက်ရွှံခြင်း	ကြောက်ရွှံ့ခြင်း
Found!ကြုိက် လဲ 	ကြိုက် လဲ
Found!ုကြည့်ကောင်းတာကျမတူတော့ဘူး	ကြည့်ကောင်းတာကျမတူတော့ဘူး
Found!ကြည့်တတ်ဘို 	ကြည့်တတ်ဖို့
Found!ကြည့်ပြေားစေချင်တယ်	ကြည့်ပြောစေချင်တယ်
Found!ကြည့်ရှု ့ရန် 	ကြည့်ရှုရန် 
Found!ကြည့်ရှူုသူ	ကြည့်ရှူသူ
Found!ကြည့်လိ်ုက်လို.	ကြည့်လိုက်လို့
Found!ကြုံကြိုက်တုံး	ကြုံကြိုက်တုန်း
Found!ကျွန်တော်တို ့ကို	ကျွန်တော်တို့ကို
Found!ကျွမ် းကျင် တယ်	ကျွမ်းကျင် တယ်
Found!ကြွမ်းကျင်သူများ	ကျွမ်းကျင်သူများ
Found!ခါးချိတ်လိ်ု့	ခါးချိတ်လို့
Found!၂၀၁၄ာခုနှစ် 	၂၀၁၄ ခုနှစ် 
Found!ခက်ခဲလွမ်းပါတယ်	ခက်ခဲလွန်းပါတယ်
Found!ခေါင်းပြူကြည့်ကြအုန်	ခေါင်းပြူကြည့်ကြအုံး
Found!ခုတ်ထည့်လိုပ်မယ်	ခုတ်ထည့်လိုက်မယ်
Found!ခန္ဓာကိ်ုယ်	ခန္ဓာကိုယ်
Found!ချို ့ယွင်းချက်	ချို့ယွင်းချက်
Found!ချက်ကျွေူးတာ	ချက်ကျွေးတာ
Found!ချစ်ခွန်းချိိုသာ	ချစ်ခွန်းချိုသာ
Found!ခြေထှောက်နဲ ့	ခြေထှောက်နဲ့
Found!ရ၇ ခြေမြန်တပ်မ	၇၇ ခြေမြန်တပ်မ
Found!ခွေဘေးမဲ့ခြံကြီး	ခွေးဘေးမဲ့ခြံကြီး
Found!ခွင့်မလွတ်ပါနဲ့	ခွင့်မလွှတ်ပါနဲ့
Found!ဂရံတိီကဒ်ပါ	ဂရံတီကဒ်ပါ
Found!ဂုဏယူချင်ရင် 	ဂုဏ်ယူချင်ရင် 
Found!ဂျင်းထည့်တယ်ကောင်	ဂျင်းထည့်တဲ့ကောင်
Found!ငလျင်�လှုပ်�တယ်�	ငလျင်လှုပ်တယ်
Found!ယေ်ယေ်တုန်းကလည်း	ငယ်ငယ်တုန်းကလည်း
Found!ယေ်သေးတယ်လေ	ငယ်သေးတယ်လေ
Found!ငွေရှာလာသည် ့	ငွေရှာလာသည့်
Found!ဌားဝတ်လိုက်ရုံပေါ့	ငှားဝတ်လိုက်ရုံပေါ့
Found!စကားပြောရမည် ့ 	စကားပြောရမည့်
Found!စာတိုကုူးကြတာဖြစ်လို့ 	စာတိုကူးကြတာဖြစ်လို့ 
Found!စာသင်မဲကိစ္စ	စာသင်မဲ့ကိစ္စ
Found!စီးနှင် းသူ 	စီးနှင်းသူ 
Found!စီးပွါးရေးဆိုင်ရာ	စီးပွားရေးဆိုင်ရာ
Found!စံချိန်စံညွန်း 	စံချိန်စံညွှန်း
Found!စိုးရိမ်ကြောင့်ကျ	စိုးရိမ်ကြောင့်ကြ
Found!စောင့်ရှောက်နိူင်ပါစေကြောင်း	စောင့်ရှောက်နိုင်ပါစေကြောင်း
Found!စ်ုင်းမော်ခမ်း	စိုင်းမော်ခမ်း
Found!စစ်ဗိ်ုလ်ချုပ်	စစ်ဗိုလ်ချုပ်
Found!စစ်ဘေးဒုက္ခသည်စခမ်း	စစ်ဘေးဒုက္ခသည်စခန်း
Found!စဥ်းစားကြည့်ကြပါ	စဉ်းစားကြည့်ကြပါ
Found!စဥ်းစားကြည့်နေတာ	စဉ်းစားကြည့်နေတာ
Found!စဉ်းစားကျိရင်	စဉ်းစားကြည့်ရင်
Found!စဥ်းစားထားတာ	စဉ်းစားထားတာ
Found!စဥ်စားလိုက်တာပေါ့	စဉ်းစားလိုက်တာပေါ့
Found!စဉ်စားသင့်ပြီ	စဉ်းစားသင့်ပြီ
Found!စည်းစညိးလုံးလုံး	စည်းစည်းလုံးလုံး
Found!စိတ် ကူးကောင် း	စိတ် ကူးကောင်း
Found!စိတ်ခံစားမှု့	စိတ်ခံစားမှု
Found!စိတ်ဆင်းရဲ ရလွနး်လို့	စိတ်ဆင်းရဲ ရလွန်းလို့
Found!စိတ်မကောင်ဖြစ်ရပါတယ်	စိတ်မကောင်းဖြစ်ရပါတယ်
Found!စိတ်မချမ်းမြေ့	စိတ်မချမ်းမြေ့
Found!စိတ် းကူးကောင် းတွေ	စိတ်းကူးကောင်းတွေ
Found!စမ် းသပ် ချင် သည် ့	စမ်းသပ် ချင် သည့်
Found!စမ်းသပ်မောင်နှင်မှု	စမ်းသပ်မောင်းနှင်မှု
Found!စုံစမ်းစစ်ဆွေးမယ့်	စုံစမ်းစစ်ဆေးမယ့်
Found!စုံစမ်းထောက်လှန်းမှု	စုံစမ်းထောက်လှမ်းမှု
Found!စုံးစမ်းမှုမျိုး	စုံစမ်းမှုမျိုး
Found!စွဲချက်တင်နိ်ုင်သောကြောင့်	စွဲချက်တင်နိုင်သောကြောင့်
Found!စွန်းစွန်းလောင်	စွန်းစွန်းလောက်
Found!ဆုတောင်းပေးကြပါအုံးဗျာ	ဆုတောင်းပေးကြပါဦးဗျာ
Found!ဆေးရုံတွေစီ	ဆေးရုံတွေဆီ
Found!ဆေးရုံသွားပြ ဘို ့	ဆေးရုံသွားပြဖို့
Found!ဆိုရှယ်လစ်နဲလဲ	ဆိုရှယ်လစ်နဲ့လဲ
Found!ဆက်လျှောက်ရမယ်	ဆက်လျှောက်ရမယ့်
Found!ဆက်သွယ်နိူင်ပါတယ်	ဆက်သွယ်နိုင်ပါတယ်
Found!ဆိုကေ်၇ာက်ခဲ့ရပါတယ်	ဆိုက်ရောက်ခဲ့ရပါတယ်
Found!ဆင်ဆင်ချင်ချင်	ဆင်ဆင်ခြင်ခြင်
Found!ဆောင်ရွက် နိ်ုင်ခြေရှိတဲ့ 	ဆောင်ရွက် နိုင်ခြေရှိတဲ့ 
Found!ဆောင်ရွှက်ပါတယ် 	ဆောင်ရွက်ပါတယ် 
Found!ဆုံးမ မှာလည်း	ဆုံးမ မှာလဲ
Found!ဆေးွနွေးနေကြသော	ဆွေးနွေးနေကြသော
Found!ဆွေးနွေးပွဲလေ	ဆွေးနွေးပွဲလေး
Found!ဆေးွနွေးမယ့်	ဆွေးနွေးမယ့်
Found!ဆွဲဆောင်မှု့	ဆွဲဆောင်မှု
Found!ဇောတ်ကားများကို	ဇာတ်ကားများကို
Found!ဇွတ်ကြီးပါဟယ်လ်	ဇွတ်ကြီးပါဟယ်
Found!ဈေးလျော့ချင်လျော့	ဈေးလျှော့ချင်လျှော့
Found!ညင်းပနး်နှိပ်စက်	ညင်းပန်းနှိပ်စက်
Found!ညှိနှိ်ုင်းမှု	ညှိုနိုင်းမှု
Found!ညွှိနှိုင်းဆွေးနွေး	ညှိုနှိုင်းဆွေးနွေး
Found!ညွန်ကြားရေးမှူး	ညွှန်ကြားရေးမှူး
Found!တဖြည်းြ်ဖည်းချင်း	တဖြည်းဖြည်းချင်း
Found!တရားပွဲပြိးတော့	တရားပွဲပြီးတော့
Found!တရားမဝင်သတ်ဖြတ်ခြငး် 	တရားမဝင်သတ်ဖြတ်ခြင်း
Found!တရားအားထုတိခြင်းဟာ	တရားအားထုတ်ခြင်းဟာ
Found!တလက်ဆတည်းမှာပဲ	တလက်စတည်းမှာပဲ
Found!တာဝန်ရှိ်သူတွေ	တာဝန်ရှိသူတွေ
Found!တော်တော်လေးတော	တော်တော်လေးတော့
Found!တော်ဘာဒေါ့အေ	တော်ပါတော့အေ
Found!တိုးမြင့်လာပါတယ်	တိုးမြှင့်လာပါတယ်
Found!တက္ကသိ်ုလ်ဝင်	တက္ကသိုလ်ဝင်
Found!တ်တတ်ကြွကြွ	တက်တက်ကြွကြွ
Found!တက်သွားခဲ့ပါပြီး	တက်သွားခဲ့ပြီး
Found!တိ်ုက်ခိ်ုက်	တိုက်ခိုက်
Found!တိုက်ခိိုက်မှုအတွင်း	တိုက်ခိုက်မှုအတွင်း
Found!တိုက်တွန်းနေပါတယ။်	တိုက်တွန်းနေပါတယ်
Found!တင်အောင်မြင့့်ဦး	တင်အောင်မြင့်ဦး
Found!တောင်ကိုရီးား	တောင်ကိုရီးယား
Found!တောင်ကိုးရီးယား	တောင်ကိုရီးယား
Found!တောက်မှန်းမြောက်မှန်ူမသိပံ	တောင်မှန်းမြောက်မှန်းမသိပဲ
Found!တောင်ပန်အပ်ပါတယ်	တောင်းပန်အပ်ပါတယ်
Found!တို်ုင်တောင်	တိုင်တောင်
Found!တိ်ုင်ပင်ကြပါတယ်	တိုင်ပင်ကြပါတယ်
Found!တနိုင်ငံလုံးကို	တစ်နိုင်ငံလုံးကို
Found!တယောက်ချင်းစီ 	တစ်ယောက်ချင်းစီ 
Found!တယောက်တည်းသော	တစ်ယောက်တည်းသော
Found!တည်းဆောက်ထားပါတယ်	တည်ဆောက်ထားပါတယ်
Found!တန်ဖိုးမဖြတ်နိူင်	တန်ဖိုးမဖြတ်နိုင်
Found!တိမ်းရှောင်သွား	တိမ်းရှောင်သွားတာ
Found!အတွေကြားထဲ	တွေကြားထဲ
Found!တွေ ့ခဲ့တဲ့ 	တွေ့ခဲ့တဲ့ 
Found!တွေ့ချင်းလို့	တွေ့ချင်လို့
Found!တွေနေရတော့	တွေ့နေရတော့
Found!တွေး့လိုက်ရင်	တွေးလိုက်ရင်
Found!တွေးလိမ် ့မယ် 	တွေးလိမ့်မယ် 
Found!တွက်ကြ်ည့် တော့ 	တွက်ကြည့် တော့ 
Found!တွန်းားပေးနိုင်	တွန်းအားပေးနိုင်
Found!ထိခိ်ုင်နဟ်နာနိုင်ခြင်း	ထိခိုက်နစ်နာနိုင်ခြင်း
Found!ထိုးဖောက် ခြငး် 	ထိုးဖောက် ခြင်း
Found!ထောင်ပေါင်းများစွာသူ	ထောင်ပေါင်းများစွာသောသူ
Found!ထုတ်လုပ်နိူင်ပါသေးတယ်	ထုတ်လုပ်နိုင်ပါသေးတယ်
Found!ထုတ် လုပ် ရောင် းခြင် း	ထုတ် လုပ် ရောင်းခြင်း
Found!ထိန်းချုပ်နိ်ုင်တာ	ထိန်းချုပ်နိုင်တာ
Found!ထိန်းချုပ်နိ်ုင်တာမျိုး	ထိန်းချုပ်နိုင်တာမျိုး
Found!ထိန်းဆင်းပါတယိ	ထိန်းဆင်းပါတယ်
Found!ထိမ်းမ နိမ်တဲ့	ထိန်းမ နိုင်တဲ့
Found!ထိမ်းသိမ်းရေးု	ထိန်းသိမ်းရေး
Found!ထပ်တက်နေအုံးမှာ	ထပ်တက်နေဦးမှာ
Found!ထပ်မံင်ပေါ်ချင်သေးသည် 	ထပ်မံပေါ်ချင်သေးသည် 
Found!ထွန်းအိန္ဒြဗို	ထွန်းအိန္ဒြာဗိုလ်
Found!ဒီဇိုင်းမျ ို း 	ဒီဇိုင်းမျိုး 
Found!ဒီမိုကရေစိီ	ဒီမိုကရေစီ
Found!ဒီမိုခရေဇီး	ဒီမိုကရေစီ
Found!ဒီလောက်ထိကျ	ဒီလောက်ထိကြ
Found!ဒေါသလည်းမထွက်ချင်ပု	ဒေါသလည်းမထွက်ချင်ဘူး
Found!ဒေါသသံပါမှာဆိုး	ဒေါသသံပါမှစိုး
Found!ဒေါ်အောင်ဆနး်စုကြည်	ဒေါ်အောင်ဆန်းစုကြည်
Found!ဒေါ်အောင်ဆန်စုကြည်	ဒေါ်အောင်ဆန်းစုကြည်
Found!ဒုက္မြသည်တွေ	ဒုက္ခသည်တွေ
Found!ဓါတ်ပုံတေ ွ	ဓာတ်ပုံတွေ
Found!ဓာတ်ပုံရိုက်မဲ့	ဓာတ်ပုံရိုက်မယ့်
Found!ဓမ်္မိယလဒ္ဓ	ဓမ္မယိလဒ္ဓ
Found!နာဂတ်မုန်တိုင်း	နာဂစ်မုန်တိုင်း
Found!ဝ၀း၃၀ နာရီ	၀၀:၃၀ နာရီ
Found!နားလည်းကြရဲ့လား	နားလည်ကြရဲ့လား
Found!နိဂုန်းချုပ်ရရင်	နိဂုံးချုပ်ရရင်
